"Symbol","Name","IPOyear","Sector","Industry"
"FLWS","1-800 FLOWERS.COM, Inc.","1999","Consumer Services","Other Specialty Stores"
"FCTY","1st Century Bancshares, Inc","n/a","Finance","Major Banks"
"FCCY","1st Constitution Bancorp (NJ)","n/a","Finance","Savings Institutions"
"SRCE","1st Source Corporation","n/a","Finance","Major Banks"
"FUBC","1st United Bancorp, Inc. (FL)","n/a","Finance","Major Banks"
"VNET","21Vianet Group, Inc.","n/a","Technology","Computer Software: Programming, Data Processing"
"JOBS","51job, Inc.","2004","Technology","Diversified Commercial Services"
"EGHT","8x8 Inc","n/a","Public Utilities","Telecommunications Equipment"
"AVHI","A V Homes, Inc.","n/a","Capital Goods","Homebuilding"
"SHLM","A. Schulman, Inc.","1972","Basic Industries","Major Chemicals"
"AAON","AAON, Inc.","n/a","Capital Goods","Industrial Machinery/Components"
"ASTM","Aastrom Biosciences, Inc.","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ABAX","ABAXIS, Inc.","1992","Capital Goods","Industrial Machinery/Components"
"ABMD","ABIOMED, Inc.","n/a","Health Care","Medical/Dental Instruments"
"AXAS","Abraxas Petroleum Corporation","n/a","Energy","Oil & Gas Production"
"ACTG","Acacia Research Corporation","n/a","Miscellaneous","Multi-Sector Companies"
"ACHC","Acadia Healthcare Company, Inc.","n/a","Health Care","Medical Specialities"
"ACAD","ACADIA Pharmaceuticals Inc.","1985","Health Care","Major Pharmaceuticals"
"ACST","Acasti Pharma, Inc.","n/a","Health Care","Major Pharmaceuticals"
"AXDX","Accelerate Diagnostics, Inc.","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"ACCL","Accelrys, Inc.","1995","Technology","Computer Software: Prepackaged Software"
"ANCX","Access National Corporation","n/a","Finance","Savings Institutions"
"ARAY","Accuray Incorporated","2007","Health Care","Medical/Dental Instruments"
"ACRX","AcelRx Pharmaceuticals, Inc.","n/a","Health Care","Major Pharmaceuticals"
"ACET","Aceto Corporation","n/a","Consumer Durables","Specialty Chemicals"
"ACHN","Achillion Pharmaceuticals, Inc.","2006","Health Care","Major Pharmaceuticals"
"ACIW","ACI Worldwide, Inc.","n/a","Technology","Computer Software: Prepackaged Software"
"ACNB","ACNB Corporation","n/a","Finance","Major Banks"
"ACOR","Acorda Therapeutics, Inc.","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ACFN","Acorn Energy, Inc.","n/a","Consumer Services","Military/Government/Technical"
"ACTS","Actions Semiconductor Co., Ltd.","2005","Technology","Semiconductors"
"ACPW","Active Power, Inc.","2000","Public Utilities","Electric Utilities: Central"
"ATVI","Activision Blizzard, Inc","n/a","Technology","Computer Software: Prepackaged Software"
"BIRT","Actuate Corporation","n/a","Technology","Computer Software: Prepackaged Software"
"ACUR","Acura Pharmaceuticals, Inc.","n/a","Health Care","Major Pharmaceuticals"
"ACXM","Acxiom Corporation","n/a","Technology","EDP Services"
"ADUS","Addus HomeCare Corporation","2009","Health Care","Medical/Nursing Services"
"AEY","ADDvantage Technologies Group, Inc.","n/a","Consumer Services","Office Equipment/Supplies/Services"
"ADEP","Adept Technology, Inc.","n/a","Technology","Industrial Machinery/Components"
"ADBE","Adobe Systems Incorporated","1986","Technology","Computer Software: Prepackaged Software"
"ADTN","ADTRAN, Inc.","1994","Public Utilities","Telecommunications Equipment"
"ADES","Advanced Emissions Solutions, Inc.","n/a","Basic Industries","Major Chemicals"
"AEIS","Advanced Energy Industries, Inc.","1995","Capital Goods","Industrial Machinery/Components"
"ADVS","Advent Software, Inc.","1995","Technology","EDP Services"
"AEGR","Aegerion Pharmaceuticals, Inc.","2010","Health Care","Major Pharmaceuticals"
"AEGN","Aegion Corp","2000","Basic Industries","Water Supply"
"AEHR","Aehr Test Systems","1997","Capital Goods","Electrical Products"
"AEPI","AEP Industries Inc.","1986","Capital Goods","Specialty Chemicals"
"AVAV","AeroVironment, Inc.","2007","Capital Goods","Aerospace"
"AEZS","AEterna Zentaris Inc.","n/a","Health Care","Major Pharmaceuticals"
"ATRM","Aetrium Incorporated","1993","Capital Goods","Electrical Products"
"AFCE","AFC Enterprises, Inc.","n/a","Consumer Services","Restaurants"
"AFFX","Affymetrix, Inc.","1996","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"AGEN","Agenus Inc.","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"AGYS","Agilysys, Inc.","n/a","Technology","EDP Services"
"AGIO","Agios Pharmaceuticals, Inc.","n/a","Health Care","Major Pharmaceuticals"
"AIRM","Air Methods Corporation","n/a","Transportation","Transportation Services"
"AIRT","Air T, Inc.","n/a","Transportation","Air Freight/Delivery Services"
"ATSG","Air Transport Services Group, Inc","n/a","Transportation","Air Freight/Delivery Services"
"AMCN","AirMedia Group Inc","1995","Technology","Advertising"
"AIXG","Aixtron SE","n/a","Technology","Industrial Machinery/Components"
"AKAM","Akamai Technologies, Inc.","1999","Miscellaneous","Business Services"
"AKRX","Akorn, Inc.","n/a","Health Care","Major Pharmaceuticals"
"ALSK","Alaska Communications Systems Group, Inc.","1999","Public Utilities","Telecommunications Equipment"
"AMRI","Albany Molecular Research, Inc.","1999","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"ALCS","ALCO Stores, Inc.","n/a","Consumer Services","Department/Specialty Retail Stores"
"ADHD","Alcobra Ltd.","n/a","Health Care","Major Pharmaceuticals"
"ALXN","Alexion Pharmaceuticals, Inc.","1996","Health Care","Major Pharmaceuticals"
"ALXA","Alexza Pharmaceuticals, Inc.","2006","Health Care","Major Pharmaceuticals"
"ALCO","Alico, Inc.","n/a","Consumer Non-Durables","Farming/Seeds/Milling"
"ALGN","Align Technology, Inc.","2001","Health Care","Industrial Specialties"
"ALIM","Alimera Sciences, Inc.","2010","Health Care","Major Pharmaceuticals"
"ALKS","Alkermes plc","1991","Health Care","Major Pharmaceuticals"
"ALGT","Allegiant Travel Company","2006","Transportation","Air Freight/Delivery Services"
"ALLB","Alliance Bancorp, Inc. of Pennsylvania","n/a","Finance","Savings Institutions"
"AFOP","Alliance Fiber Optic Products, Inc.","2000","Technology","Semiconductors"
"AIQ","Alliance HealthCare Services, Inc.","2001","Health Care","Medical Specialities"
"AHGP","Alliance Holdings GP, L.P.","2006","Energy","Coal Mining"
"ARLP","Alliance Resource Partners, L.P.","1999","Energy","Coal Mining"
"AHPI","Allied Healthcare Products, Inc.","1992","Health Care","Industrial Specialties"
"AMOT","Allied Motion Technologies, Inc.","n/a","Capital Goods","Electrical Products"
"ALLT","Allot Communications Ltd.","2006","Technology","Computer Communications Equipment"
"MDRX","Allscripts Healthcare Solutions, Inc.","1999","Technology","EDP Services"
"AFAM","Almost Family Inc","n/a","Health Care","Medical/Nursing Services"
"ALNY","Alnylam Pharmaceuticals, Inc.","2004","Health Care","Major Pharmaceuticals"
"AOSL","Alpha and Omega Semiconductor Limited","2010","Technology","Semiconductors"
"ATEC","Alphatec Holdings, Inc.","2006","Health Care","Medical/Dental Instruments"
"ASDR","ALPS ETF Trust VelocityShares Emerging Asia DR ETF","n/a","n/a","n/a"
"EMDR","ALPS ETF Trust VelocityShares Emerging Markets DR ETF","n/a","n/a","n/a"
"RUDR","ALPS ETF Trust VelocityShares Russia Select DR ETF","n/a","n/a","n/a"
"ALTI","Altair Nanotechnologies Inc.","n/a","Basic Industries","Major Chemicals"
"ALTR","Altera Corporation","1988","Technology","Semiconductors"
"ASPS","Altisource Portfolio Solutions S.A.","n/a","Consumer Services","Other Consumer Services"
"APSA","Alto Palermo S.A.","n/a","Consumer Services","Building operators"
"AIMC","Altra Holdings, Inc.","2006","Capital Goods","Industrial Machinery/Components"
"ALVR","Alvarion Ltd.","n/a","Public Utilities","Telecommunications Equipment"
"AMAG","AMAG Pharmaceuticals, Inc.","n/a","Health Care","Major Pharmaceuticals"
"AMRN","Amarin Corporation PLC","1995","Health Care","Major Pharmaceuticals"
"AMZN","Amazon.com, Inc.","1997","Consumer Services","Catalog/Specialty Distribution"
"AMBC","Ambac Financial Group, Inc.","n/a","Finance","Property-Casualty Insurers"
